k,t,n,b,CPF
wind-old,1,1,1,0.8394
wind-old,1,1,2,0.8646
wind-old,1,1,3,0.848
wind-old,1,1,4,0.7891
wind-old,1,2,1,0.1984
wind-old,1,2,2,0.25
wind-old,1,2,3,0.2724
wind-old,1,2,4,0.2224
wind-old,1,3,1,0.8628
wind-old,1,3,2,0.7892
wind-old,1,3,3,0.7976
wind-old,1,3,4,0.7057
wind-old,1,4,1,0.1444
wind-old,1,4,2,0.1086
wind-old,1,4,3,0.0978
wind-old,1,4,4,0.0698
wind-old,2,1,1,0.9594
wind-old,2,1,2,0.9846
wind-old,2,1,3,0.968
wind-old,2,1,4,0.9091
wind-old,2,2,1,0.3184
wind-old,2,2,2,0.37
wind-old,2,2,3,0.3924
wind-old,2,2,4,0.3424
wind-old,2,3,1,0.9828
wind-old,2,3,2,0.9092
wind-old,2,3,3,0.9176
wind-old,2,3,4,0.8257
wind-old,2,4,1,0.2644
wind-old,2,4,2,0.2286
wind-old,2,4,3,0.2178
wind-old,2,4,4,0.1898
wind-old,3,1,1,0.8394
wind-old,3,1,2,0.8646
wind-old,3,1,3,0.848
wind-old,3,1,4,0.7891
wind-old,3,2,1,0.1984
wind-old,3,2,2,0.25
wind-old,3,2,3,0.2724
wind-old,3,2,4,0.2224
wind-old,3,3,1,0.8628
wind-old,3,3,2,0.7892
wind-old,3,3,3,0.7976
wind-old,3,3,4,0.7057
wind-old,3,4,1,0.1444
wind-old,3,4,2,0.1086
wind-old,3,4,3,0.0978
wind-old,3,4,4,0.0698
wind-old,4,1,1,0.9594
wind-old,4,1,2,0.9846
wind-old,4,1,3,0.968
wind-old,4,1,4,0.9091
wind-old,4,2,1,0.3184
wind-old,4,2,2,0.37
wind-old,4,2,3,0.3924
wind-old,4,2,4,0.3424
wind-old,4,3,1,0.9828
wind-old,4,3,2,0.9092
wind-old,4,3,3,0.9176
wind-old,4,3,4,0.8257
wind-old,4,4,1,0.2644
wind-old,4,4,2,0.2286
wind-old,4,4,3,0.2178
wind-old,4,4,4,0.1898
wind-old,5,1,1,0.8394
wind-old,5,1,2,0.8646
wind-old,5,1,3,0.848
wind-old,5,1,4,0.7891
wind-old,5,2,1,0.1984
wind-old,5,2,2,0.25
wind-old,5,2,3,0.2724
wind-old,5,2,4,0.2224
wind-old,5,3,1,0.8628
wind-old,5,3,2,0.7892
wind-old,5,3,3,0.7976
wind-old,5,3,4,0.7057
wind-old,5,4,1,0.1444
wind-old,5,4,2,0.1086
wind-old,5,4,3,0.0978
wind-old,5,4,4,0.0698
wind-new,1,1,1,0.8394
wind-new,1,1,2,0.8646
wind-new,1,1,3,0.848
wind-new,1,1,4,0.7891
wind-new,1,2,1,0.1984
wind-new,1,2,2,0.25
wind-new,1,2,3,0.2724
wind-new,1,2,4,0.2224
wind-new,1,3,1,0.8628
wind-new,1,3,2,0.7892
wind-new,1,3,3,0.7976
wind-new,1,3,4,0.7057
wind-new,1,4,1,0.1444
wind-new,1,4,2,0.1086
wind-new,1,4,3,0.0978
wind-new,1,4,4,0.0698
wind-new,2,1,1,0.9594
wind-new,2,1,2,0.9846
wind-new,2,1,3,0.968
wind-new,2,1,4,0.9091
wind-new,2,2,1,0.3184
wind-new,2,2,2,0.37
wind-new,2,2,3,0.3924
wind-new,2,2,4,0.3424
wind-new,2,3,1,0.9828
wind-new,2,3,2,0.9092
wind-new,2,3,3,0.9176
wind-new,2,3,4,0.8257
wind-new,2,4,1,0.2644
wind-new,2,4,2,0.2286
wind-new,2,4,3,0.2178
wind-new,2,4,4,0.1898
wind-new,3,1,1,0.8394
wind-new,3,1,2,0.8646
wind-new,3,1,3,0.848
wind-new,3,1,4,0.7891
wind-new,3,2,1,0.1984
wind-new,3,2,2,0.25
wind-new,3,2,3,0.2724
wind-new,3,2,4,0.2224
wind-new,3,3,1,0.8628
wind-new,3,3,2,0.7892
wind-new,3,3,3,0.7976
wind-new,3,3,4,0.7057
wind-new,3,4,1,0.1444
wind-new,3,4,2,0.1086
wind-new,3,4,3,0.0978
wind-new,3,4,4,0.0698
wind-new,4,1,1,0.9594
wind-new,4,1,2,0.9846
wind-new,4,1,3,0.968
wind-new,4,1,4,0.9091
wind-new,4,2,1,0.3184
wind-new,4,2,2,0.37
wind-new,4,2,3,0.3924
wind-new,4,2,4,0.3424
wind-new,4,3,1,0.9828
wind-new,4,3,2,0.9092
wind-new,4,3,3,0.9176
wind-new,4,3,4,0.8257
wind-new,4,4,1,0.2644
wind-new,4,4,2,0.2286
wind-new,4,4,3,0.2178
wind-new,4,4,4,0.1898
wind-new,5,1,1,0.8394
wind-new,5,1,2,0.8646
wind-new,5,1,3,0.848
wind-new,5,1,4,0.7891
wind-new,5,2,1,0.1984
wind-new,5,2,2,0.25
wind-new,5,2,3,0.2724
wind-new,5,2,4,0.2224
wind-new,5,3,1,0.8628
wind-new,5,3,2,0.7892
wind-new,5,3,3,0.7976
wind-new,5,3,4,0.7057
wind-new,5,4,1,0.1444
wind-new,5,4,2,0.1086
wind-new,5,4,3,0.0978
wind-new,5,4,4,0.0698
